timestamp,__uom,__icon,__color,mnemonic,value,_1,severity,title,sev_alarm,mne_alarm
2020-02-17T14:01:45.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P2,77.0,1.0,,Stroke Rate - Pump 2,,BP_PMP_SPM_RATE_P2
2020-02-17T14:01:45.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P3,77.0,1.0,,Stroke Rate - Pump 3,,BP_PMP_SPM_RATE_P3
2020-02-17T14:01:45.000+0000,,check,#adadad,BP_PMP_SPM_RATE_P4,,1.0,,Stroke Rate - Pump 4,,BP_PMP_SPM_RATE_P4
2020-02-17T14:01:46.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P1,77.0,1.0,,Stroke Rate - Pump 1,,BP_PMP_SPM_RATE_P1
2020-02-17T14:01:46.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P2,77.0,1.0,,Stroke Rate - Pump 2,,BP_PMP_SPM_RATE_P2
2020-02-17T14:01:46.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P3,77.0,1.0,,Stroke Rate - Pump 3,,BP_PMP_SPM_RATE_P3
2020-02-17T14:01:46.000+0000,,check,#adadad,BP_PMP_SPM_RATE_P4,,1.0,,Stroke Rate - Pump 4,,BP_PMP_SPM_RATE_P4
2020-02-17T14:01:47.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P1,77.0,1.0,,Stroke Rate - Pump 1,,BP_PMP_SPM_RATE_P1
2020-02-17T14:01:47.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P2,77.0,1.0,,Stroke Rate - Pump 2,,BP_PMP_SPM_RATE_P2
2020-02-17T14:01:47.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P3,77.0,1.0,,Stroke Rate - Pump 3,,BP_PMP_SPM_RATE_P3
2020-02-17T14:01:47.000+0000,,check,#adadad,BP_PMP_SPM_RATE_P4,,1.0,,Stroke Rate - Pump 4,,BP_PMP_SPM_RATE_P4
2020-02-17T14:01:48.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P1,77.0,1.0,,Stroke Rate - Pump 1,,BP_PMP_SPM_RATE_P1
2020-02-17T14:01:48.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P2,77.0,1.0,,Stroke Rate - Pump 2,,BP_PMP_SPM_RATE_P2
2020-02-17T14:01:48.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P3,77.0,1.0,,Stroke Rate - Pump 3,,BP_PMP_SPM_RATE_P3
2020-02-17T14:01:48.000+0000,,check,#adadad,BP_PMP_SPM_RATE_P4,,1.0,,Stroke Rate - Pump 4,,BP_PMP_SPM_RATE_P4
2020-02-17T14:01:49.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P1,77.0,1.0,,Stroke Rate - Pump 1,,BP_PMP_SPM_RATE_P1
2020-02-17T14:01:49.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P2,77.0,1.0,,Stroke Rate - Pump 2,,BP_PMP_SPM_RATE_P2
2020-02-17T14:01:49.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P3,77.0,1.0,,Stroke Rate - Pump 3,,BP_PMP_SPM_RATE_P3
2020-02-17T14:01:49.000+0000,,check,#adadad,BP_PMP_SPM_RATE_P4,,1.0,,Stroke Rate - Pump 4,,BP_PMP_SPM_RATE_P4
2020-02-17T14:01:50.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P1,77.0,1.0,,Stroke Rate - Pump 1,,BP_PMP_SPM_RATE_P1
2020-02-17T14:01:50.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P2,77.0,1.0,,Stroke Rate - Pump 2,,BP_PMP_SPM_RATE_P2
2020-02-17T14:01:50.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P3,77.0,1.0,,Stroke Rate - Pump 3,,BP_PMP_SPM_RATE_P3
2020-02-17T14:01:50.000+0000,,check,#adadad,BP_PMP_SPM_RATE_P4,,1.0,,Stroke Rate - Pump 4,,BP_PMP_SPM_RATE_P4
2020-02-17T14:01:51.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P1,77.0,1.0,,Stroke Rate - Pump 1,,BP_PMP_SPM_RATE_P1
2020-02-17T14:01:51.000+0000,Hz,check,#adadad,BP_PMP_SPM_RATE_P2,77.0,1.0,,Stroke Rate - Pump 2,,BP_PMP_SPM_RATE_P2
